old_name,keep_name,confidence,note
R. Al-Ghamdi,R. Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Raed Al-Ghamdi,Raed Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rafi Al-Ruwaili,Rafi Al Ruwaili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rakan Al-Dosari,Rakan Al Dosari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rakan Al-Tulayhi,Rakan Al Tulayhi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rayan Al-Sharekh,Rayan Al Sharekh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ruben Neves,Rúben Neves,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Sadio Mane,Sadio Mané,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Abu Al-Shamat,Saleh Abu Al Shamat,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Al-Harthi,Saleh Al Harthi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Al-Saeed,Saleh Al Saeed,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salem Al-Toiawy,Salem Al Toiawy,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salman Al-Faraj,Salman Al Faraj,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salman Al-Mowasher,Salman Al Mowasher,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salman Al-Muwashar,Salman Al Muwashar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saud Al-Ruwaili,Saud Al Ruwaili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saud Al-Tumbukti,Saud Al Tumbukti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Sergej Milinkovic-Savic,Sergej Milinković-Savić,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Suhayb Al-Zaid,Suhayb Al Zaid,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Talal Al-Absi,Talal Al Absi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Talal Al-Shubili,Talal Al Shubili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Turki Al-Jaadi,Turki Al Jaadi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Turki Ba Al-Jawsh,Turki Ba Al Jawsh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Victor Ruiz,Víctor Ruiz,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Younes Al-Shanqeeti,Younes Al Shanqeeti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yousef Al-Shammari,Yousef Al Shammari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Zaid Al-Bawardi,Zaid Al Bawardi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdoulaye Doucouré,Abdoulaye Doucoure,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Hussein Al-Owisher,Abdullah Hussein Al Owisher,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Koray Günter,Koray Gunter,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Marcelo Brozović,Marcelo Brozovic,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Marek Rodák,Marek Rodak,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohamed Konaté,Mohamed Konate,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Abu Al-Shamat,Mohammed  Abu Al-Shamat,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Dawsari,Mohammed Al Dawsari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Roger Martínez,Roger Martinez,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saïd Benrahma,Said Benrahma,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yakou Méïté,Yakou Meite,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
