old_name,keep_name,confidence,note
Mubarak Al-Rajeh,Mubarak Al Rajeh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mubarak Al-Shayie,Mubarak Al Shayie,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Muhannad Al-Yahya,Muhannad Al Yahya,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
N. Gyömbér,N. Gyomber,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nasser Al-Omran,Nasser Al Omran,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nawaf Al-Aqidi,Nawaf Al Aqidi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nawaf Al-Bishri,Nawaf Al Bishri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nawaf Al-Hawsawi,Nawaf Al Hawsawi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nawaf Al-Rashwodi,Nawaf Al Rashwodi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Noor Al-Rashidi,Noor Al Rashidi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Osama Al-Mermesh,Osama Al Mermesh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Othman Al-Othman,Othman Al Othman,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
P. Rajković,P. Rajkovic,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
R. Al-Ghamdi,R. Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Raed Al-Ghamdi,Raed Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rafi Al-Ruwaili,Rafi Al Ruwaili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rakan Al-Dosari,Rakan Al Dosari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rakan Al-Tulayhi,Rakan Al Tulayhi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Rayan Al-Sharekh,Rayan Al Sharekh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ruben Neves,Rúben Neves,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Sadio Mane,Sadio Mané,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Abu Al-Shamat,Saleh Abu Al Shamat,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Al-Harthi,Saleh Al Harthi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Al-Saeed,Saleh Al Saeed,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salem Al-Toiawy,Salem Al Toiawy,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salman Al-Faraj,Salman Al Faraj,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salman Al-Mowasher,Salman Al Mowasher,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Salman Al-Muwashar,Salman Al Muwashar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saud Al-Ruwaili,Saud Al Ruwaili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saud Al-Tumbukti,Saud Al Tumbukti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Sergej Milinkovic-Savic,Sergej Milinković-Savić,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Suhayb Al-Zaid,Suhayb Al Zaid,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Talal Al-Absi,Talal Al Absi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Talal Al-Shubili,Talal Al Shubili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Turki Al-Jaadi,Turki Al Jaadi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Turki Ba Al-Jawsh,Turki Ba Al Jawsh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Victor Ruiz,Víctor Ruiz,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Younes Al-Shanqeeti,Younes Al Shanqeeti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yousef Al-Shammari,Yousef Al Shammari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Zaid Al-Bawardi,Zaid Al Bawardi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdoulaye Doucouré,Abdoulaye Doucoure,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Hussein Al-Owisher,Abdullah Hussein Al Owisher,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Koray Günter,Koray Gunter,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Marcelo Brozović,Marcelo Brozovic,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Marek Rodák,Marek Rodak,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohamed Konaté,Mohamed Konate,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Abu Al-Shamat,Mohammed  Abu Al-Shamat,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Dawsari,Mohammed Al Dawsari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Roger Martínez,Roger Martinez,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saïd Benrahma,Said Benrahma,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yakou Méïté,Yakou Meite,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
S. Bergwijn,Steven Bergwijn,مؤكد,player_id=244 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Diaby,Moussa Diaby,مؤكد,player_id=277 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
S. Mané,Sadio Mané,مؤكد,player_id=304 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
K. Koulibaly,Kalidou Koulibaly,مؤكد,player_id=318 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Borjan,Milan Borjan,مؤكد,player_id=336 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
S. Kverkvelia,S. Kvirkvelia,مؤكد,player_id=471 — حَكَم قاطع (merge_by_id.py)
K. Coman,Kingsley Coman,مؤكد,player_id=508 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
H. Aouar,Houssem Aouar,مؤكد,player_id=658 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Dembele,Moussa Dembélé,مؤكد,player_id=666 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
N. Fernandez,Nacho,مؤكد,player_id=735 — حَكَم قاطع (merge_by_id.py)
K. Benzema,Karim Benzema,مؤكد,player_id=759 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
J. Cancelo,João Cancelo,مؤكد,player_id=855 — حَكَم قاطع (merge_by_id.py)
J. Hendry,Jack Hendry,مؤكد,player_id=1111 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Z. Youssouf,Zaydou Youssouf,مؤكد,player_id=1272 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
S. Milinković-Savić,Sergej Milinković-Savić,مؤكد,player_id=1856 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
H. Bushchan,G. Bushchan,مؤكد,player_id=2158 — حَكَم قاطع (merge_by_id.py)
M. Malayekah,Mustafa Malayekah,مؤكد,player_id=2626 — حَكَم قاطع (merge_by_id.py)
M. Al Khabrani,Mohammed Al Khabrani,مؤكد,player_id=2627 — حَكَم قاطع (merge_by_id.py)
M. Al Mufarrij,Muteb Al Mufarrij,مؤكد,player_id=2628 — حَكَم قاطع (merge_by_id.py)
B. Nasser,Bandar Nasser,مؤكد,player_id=2629 — حَكَم قاطع (merge_by_id.py)
Z. Al Sahafi,Ziyad Al Sahafi,مؤكد,player_id=2630 — حَكَم قاطع (merge_by_id.py)
Ali Abdullah Hazzazi,Ali Abdullah Hazazi,مؤكد,player_id=2632 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Waleed Bakshwn,Waleed Bakshween,مؤكد,player_id=2637 — حَكَم قاطع (merge_by_id.py)
A. Adam,Abdulfattah Adam,مؤكد,player_id=2641 — حَكَم قاطع (merge_by_id.py)
M. Hamzi,Mansour Hamzi,مؤكد,player_id=2643 — حَكَم قاطع (merge_by_id.py)
I. Martinez,Iñigo Martínez,مؤكد,player_id=2670 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Y. Bounou,Yassine Bounou,مؤكد,player_id=2701 — حَكَم قاطع (merge_by_id.py)
Bono,Yassine Bounou,مؤكد,player_id=2701 — حَكَم قاطع (merge_by_id.py)
P. Rajkovic,Predrag Rajković,مؤكد,player_id=2814 — حَكَم قاطع (merge_by_id.py)
C. Bassogog,Christian Bassogog,مؤكد,player_id=3408 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
B. Mensah,Bernard Mensah,مؤكد,player_id=3424 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
S. Pedroza,J. Pedroza,مؤكد,player_id=13789 — حَكَم قاطع (merge_by_id.py)
J. King,Joshua King,مؤكد,player_id=18881 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Hegazy,Ahmed Hegazy,مؤكد,player_id=19149 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
J. Buckley,John Buckley,مؤكد,player_id=19475 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Rodak,M. Rodák,مؤكد,player_id=19657 — حَكَم قاطع (merge_by_id.py)
V. Lekhal,Victor Lekhal,مؤكد,player_id=20697 — حَكَم قاطع (merge_by_id.py)
P. Rebocho,Pedro Rebocho,مؤكد,player_id=21486 — حَكَم قاطع (merge_by_id.py)
Rebocho,Pedro Rebocho,مؤكد,player_id=21486 — حَكَم قاطع (merge_by_id.py)
T. Okou,Teddy Okou,مؤكد,player_id=22230 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Simakan,Mohamed Simakan,مؤكد,player_id=22250 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
O. Duda,Ondrej Duda,مؤكد,player_id=25349 — حَكَم قاطع (merge_by_id.py)
M. Barrow,Musa Barrow,مؤكد,player_id=30437 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
R. Martínez,R. B. Martinez Tobinson,مؤكد,player_id=35604 — حَكَم قاطع (merge_by_id.py)
Mukhtar Ali,Mohanad Ali,مؤكد,player_id=37121 — حَكَم قاطع (merge_by_id.py)
S. Pinas,Shaquille Riley Pinas,مؤكد,player_id=37925 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
L. Antunes,Leandro Antunes,مؤكد,player_id=41982 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Q. Lajami,Qassem Lajami,مؤكد,player_id=43940 — حَكَم قاطع (merge_by_id.py)
A. A. Khateeb,Abdullah Khateeb,مؤكد,player_id=43943 — حَكَم قاطع (merge_by_id.py)
Hussain Al Nowaiqi,Hussain Ali Alnowaiqi,مؤكد,player_id=43949 — حَكَم قاطع (merge_by_id.py)
Ala´a Al Hajji,Ala Al Hajji,مؤكد,player_id=43953 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Al Shammari,Mohammed Mazyad Alshammari,مؤكد,player_id=43988 — حَكَم قاطع (merge_by_id.py)
S. Al Hamsal,Saeed Al Hamsal,مؤكد,player_id=44014 — حَكَم قاطع (merge_by_id.py)
Abdulraouf Al Dakheel,Abdulraouf Al Duqayl,مؤكد,player_id=44166 — حَكَم قاطع (merge_by_id.py)
A. Al Duqayl,Abdulraouf Al Duqayl,مؤكد,player_id=44166 — حَكَم قاطع (merge_by_id.py)
A. Al Harajin,Abdulhadi Al Harajin,مؤكد,player_id=44174 — حَكَم قاطع (merge_by_id.py)
Abdulrahman Al Shammari,Abdul Rahman Al Shammari,مؤكد,player_id=44192 — حَكَم قاطع (merge_by_id.py)
N. Al Sharari,Nader Al Sharari,مؤكد,player_id=44260 — حَكَم قاطع (merge_by_id.py)
W. Abdullah,Waleed Abdullah,مؤكد,player_id=44296 — حَكَم قاطع (merge_by_id.py)
A. Madu,Abdullah Madu,مؤكد,player_id=44303 — حَكَم قاطع (merge_by_id.py)
S. Zaydan,Saud Zaydan,مؤكد,player_id=44306 — حَكَم قاطع (merge_by_id.py)
S. Al Ghannam,Sultan Al Ghannam,مؤكد,player_id=44309 — حَكَم قاطع (merge_by_id.py)
Y. Al Shehri,Yahia Al Shehri,مؤكد,player_id=44313 — حَكَم قاطع (merge_by_id.py)
Abdulrahman Al Dosari,A. Al Dawsari,مؤكد,player_id=44314 — حَكَم قاطع (merge_by_id.py)
F. Al Jumaiya,Fahad Jumayah,مؤكد,player_id=44316 — حَكَم قاطع (merge_by_id.py)
F. Al Buraikan,Feras Al Brikan,مؤكد,player_id=44324 — حَكَم قاطع (merge_by_id.py)
Abderazak Hamdallah,A. Hamed-Allah,مؤكد,player_id=44325 — حَكَم قاطع (merge_by_id.py)
A. Hamdallah,A. Hamed-Allah,مؤكد,player_id=44325 — حَكَم قاطع (merge_by_id.py)
M. Al Burayk,Mohammed Al Burayk,مؤكد,player_id=44329 — حَكَم قاطع (merge_by_id.py)
Y. Al Shahrani,Yasir Al Shahrani,مؤكد,player_id=44331 — حَكَم قاطع (merge_by_id.py)
Hassan Kadesh,Hassan Kadish,مؤكد,player_id=44335 — حَكَم قاطع (merge_by_id.py)
H. Kadesh,Hassan Kadish,مؤكد,player_id=44335 — حَكَم قاطع (merge_by_id.py)
A. Sharahili,Ahmed Sharahili,مؤكد,player_id=44336 — حَكَم قاطع (merge_by_id.py)
N. Al Dawsari,Nasser Al Dawsari,مؤكد,player_id=44339 — حَكَم قاطع (merge_by_id.py)
S. Al Faraj,Salman Al Faraj,مؤكد,player_id=44341 — حَكَم قاطع (merge_by_id.py)
Mohammed Al Qunaian,Mohammed Al Qunayan,مؤكد,player_id=44346 — حَكَم قاطع (merge_by_id.py)
Hattan Bahbri,H. Bahebri,مؤكد,player_id=44347 — حَكَم قاطع (merge_by_id.py)
Hatan Bahbri,H. Bahebri,مؤكد,player_id=44347 — حَكَم قاطع (merge_by_id.py)
Raghed Najjar,Raghid Najjar,مؤكد,player_id=44360 — حَكَم قاطع (merge_by_id.py)
M. Al Baqawi,Mohammed Al Baqawi,مؤكد,player_id=44361 — حَكَم قاطع (merge_by_id.py)
H. Tambakti,Hassan Al Tambakti,مؤكد,player_id=44362 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Hassan Tambakti,Hassan Al Tambakti,مؤكد,player_id=44362 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
N. Al Habashi,Nawaf Al Habashi,مؤكد,player_id=44370 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Abdulmajeed Al Sulaiheem,Abdulmajeed Al Sulayhim,مؤكد,player_id=44373 — حَكَم قاطع (merge_by_id.py)
A. Al Shammeri,Abdulelah Al Shammry,مؤكد,player_id=44376 — حَكَم قاطع (merge_by_id.py)
A. Al Hamdan,Abdullah Al Hamddan,مؤكد,player_id=44382 — حَكَم قاطع (merge_by_id.py)
Abdullah Al Hamdan,Abdullah Al Hamddan,مؤكد,player_id=44382 — حَكَم قاطع (merge_by_id.py)
M. Al Baqaawi,Moataz Al Baqawi,مؤكد,player_id=44387 — حَكَم قاطع (merge_by_id.py)
M. Al Fatil,Mohammed Al Fatil,مؤكد,player_id=44413 — حَكَم قاطع (merge_by_id.py)
A. Hindi,Abdulbasit Hindi,مؤكد,player_id=44422 — حَكَم قاطع (merge_by_id.py)
A. Hassoun,Abdullah Tarmin,مؤكد,player_id=44425 — حَكَم قاطع (merge_by_id.py)
Salman Al Muwashar,Salman Al-Mowasher,مؤكد,player_id=44441 — حَكَم قاطع (merge_by_id.py)
Salman Al Mowasher,Salman Al-Mowasher,مؤكد,player_id=44441 — حَكَم قاطع (merge_by_id.py)
Firas Al-Ghamdi,Feras Al Ghamdi,مؤكد,player_id=44443 — حَكَم قاطع (merge_by_id.py)
A. Ghareeb,Abdulrahman Ghareeb,مؤكد,player_id=44447 — حَكَم قاطع (merge_by_id.py)
A. Al Kassar,Ahmed Al Kassar,مؤكد,player_id=44449 — حَكَم قاطع (merge_by_id.py)
H. Al Qahtani,Hussain Al Qahtani,مؤكد,player_id=44459 — حَكَم قاطع (merge_by_id.py)
A. Al Qahtani,Abdullah Al Qahtani,مؤكد,player_id=44460 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Al Thani,Mohammed Al Thani,مؤكد,player_id=44470 — حَكَم قاطع (merge_by_id.py)
A. Atiah,Abdulquddus Atiah,مؤكد,player_id=44473 — حَكَم قاطع (merge_by_id.py)
A. Al Amri,Abdulelah Al Amri,مؤكد,player_id=44475 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
R. Al Otaibi,Radhi Al Otaibi,مؤكد,player_id=44476 — حَكَم قاطع (merge_by_id.py)
Radhi Al-Oteibi,Radhi Al Otaibi,مؤكد,player_id=44476 — حَكَم قاطع (merge_by_id.py)
A. Al Malki,Abdulelah Al Malki,مؤكد,player_id=44483 — حَكَم قاطع (merge_by_id.py)
Fawaz Al Saqour,Fawaz Al Soqoor,مؤكد,player_id=44485 — حَكَم قاطع (merge_by_id.py)
F. Al Saqour,Fawaz Al Soqoor,مؤكد,player_id=44485 — حَكَم قاطع (merge_by_id.py)
Fawaz Al Yami,Fawaz Al Soqoor,مؤكد,player_id=44485 — حَكَم قاطع (merge_by_id.py)
N. Al Harthi,Nawaf Al Harthi,مؤكد,player_id=44487 — حَكَم قاطع (merge_by_id.py)
H. Al Wutaian,Habib Al Watyan,مؤكد,player_id=44501 — حَكَم قاطع (merge_by_id.py)
Jumaan Al Dosari,Jamaan Al Dosari,مؤكد,player_id=44505 — حَكَم قاطع (merge_by_id.py)
A. Lajami,Ali Lajami,مؤكد,player_id=44507 — حَكَم قاطع (merge_by_id.py)
M. Al Saeed,Mohammed Al Saeed,مؤكد,player_id=44513 — حَكَم قاطع (merge_by_id.py)
M. Sanyor,Meshari Sunyur,مؤكد,player_id=44528 — حَكَم قاطع (merge_by_id.py)
M. Sunyur,Meshari Sunyur,مؤكد,player_id=44528 — حَكَم قاطع (merge_by_id.py)
A. Al Fahad,Abdullah Al Fahad,مؤكد,player_id=44530 — حَكَم قاطع (merge_by_id.py)
Hussain Al Shuwaysh,Hussain Al Shuwaish,مؤكد,player_id=44533 — حَكَم قاطع (merge_by_id.py)
Abdullah Almogren,Abdullah Al Mogren,مؤكد,player_id=44543 — حَكَم قاطع (merge_by_id.py)
Sultan Farhan,Sultan Al Farhan,مؤكد,player_id=44548 — حَكَم قاطع (merge_by_id.py)
A. Al Hafith,Abdullah Al Hafith,مؤكد,player_id=44558 — حَكَم قاطع (merge_by_id.py)
H. Qasim,Hussain Qasim,مؤكد,player_id=44571 — حَكَم قاطع (merge_by_id.py)
I. Mahnashi,Ibrahim Mahnashi,مؤكد,player_id=44581 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Hazaa Al Hazaa,Hazza Al Hazza,مؤكد,player_id=44584 — حَكَم قاطع (merge_by_id.py)
M. Al Kuwaykibi,Mohammed Al Kuwaykibi,مؤكد,player_id=44585 — حَكَم قاطع (merge_by_id.py)
A. Al Oboud,Abdulrahman Al Obud,مؤكد,player_id=44586 — حَكَم قاطع (merge_by_id.py)
A. Al Bukhari,Amin Al Bukhari,مؤكد,player_id=44589 — حَكَم قاطع (merge_by_id.py)
A. Al Saluli,Awn Al Saluli,مؤكد,player_id=44598 — حَكَم قاطع (merge_by_id.py)
A. Asiri,Ahmad Asiri,مؤكد,player_id=44599 — حَكَم قاطع (merge_by_id.py)
T. Abdullah,Tariq Abdullah,مؤكد,player_id=44601 — حَكَم قاطع (merge_by_id.py)
Muhannad Shanqeeti,Muhannad Al Shanqiti,مؤكد,player_id=44603 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Al Bishi,Abdulaziz Al Bishi,مؤكد,player_id=44604 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Al Dwehe,A. Al Dhuwayhi,مؤكد,player_id=44605 — حَكَم قاطع (merge_by_id.py)
A. Al Dakheel,Abdulrahman Al Dakheel,مؤكد,player_id=44624 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Al Rashidi,Makhir Al Rashidi,مؤكد,player_id=44652 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Mukhir Al Rashidi,Makhir Al Rashidi,مؤكد,player_id=44652 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Bamsaud,Ahmed Bamasud,مؤكد,player_id=44653 — حَكَم قاطع (merge_by_id.py)
Mohammed Qasem,Mohammad Qasem,مؤكد,player_id=44656 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Mohammed Qassem,Mohammad Qasem,مؤكد,player_id=44656 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Tawfiq Bu Haymid,Tawfiq Buhumaid,مؤكد,player_id=44666 — حَكَم قاطع (merge_by_id.py)
E. Fida,Emad Fidaa,مؤكد,player_id=44679 — حَكَم قاطع (merge_by_id.py)
I. Al Shuayl,Ibrahim Al Shuayl,مؤكد,player_id=44682 — حَكَم قاطع (merge_by_id.py)
Ibrahim Al Shuail,Ibrahim Al Shuayl,مؤكد,player_id=44682 — حَكَم قاطع (merge_by_id.py)
K. Al Dawsari,Khalifah Al Dawsari,مؤكد,player_id=44684 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
K. Al Ghannam,Khalid Al Ghannam,مؤكد,player_id=44701 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
,,,
Majed Omar Kanabah,Majed Kanabah,مؤكد,player_id=44724 — حَكَم قاطع (merge_by_id.py)
M. Kanabah,Majed Kanabah,مؤكد,player_id=44724 — حَكَم قاطع (merge_by_id.py)
Ramzi Sawlan,Ramzi Solan,مؤكد,player_id=44738 — حَكَم قاطع (merge_by_id.py)
R. Solan,Ramzi Solan,مؤكد,player_id=44738 — حَكَم قاطع (merge_by_id.py)
Abdullah Al Owayshir,Abdullah Al Owaishir,مؤكد,player_id=44741 — حَكَم قاطع (merge_by_id.py)
A. Al Asmari,Ali Al Asmari,مؤكد,player_id=44754 — حَكَم قاطع (merge_by_id.py)
F. Al Rashidi,Fahad Al-Rashidi,مؤكد,player_id=44755 — حَكَم قاطع (merge_by_id.py)
F. Pacheco,Fernando Pacheco,مؤكد,player_id=47352 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Y. En Nesyri,Youssef En-Nesyri,مؤكد,player_id=47422 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
C. Puertas,Cameron Puertas,مؤكد,player_id=48642 — حَكَم قاطع (merge_by_id.py)
M. Saadane,Marwane Saadane,مؤكد,player_id=50042 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Batna,Mourad Batna,مؤكد,player_id=50395 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Saad Natiq,Suad Natiq,مؤكد,player_id=53889 — حَكَم قاطع (merge_by_id.py)
A. Moris,Anthony Moris,مؤكد,player_id=55878 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. El Mahdioui,Ashraf El Mahdioui,مؤكد,player_id=61408 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
F. Abdi,Faris Abdi,مؤكد,player_id=71272 — حَكَم قاطع (merge_by_id.py)
A. Al Ghamdi,Ahmed Al Ghamdi,مؤكد,player_id=78583 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
R. Sharahili,Riyadh Sharahili,مؤكد,player_id=104652 — حَكَم قاطع (merge_by_id.py)
H. Al Jayzani,Hamad Al Jayzani,مؤكد,player_id=104667 — حَكَم قاطع (merge_by_id.py)
I. Zaied,Ibrahim Zaid,مؤكد,player_id=104680 — حَكَم قاطع (merge_by_id.py)
M. Al Qaydhi,Muhannad Al Qaydhi,مؤكد,player_id=104699 — حَكَم قاطع (merge_by_id.py)
M. Al Haidari,Marwan Al Haidari,مؤكد,player_id=104726 — حَكَم قاطع (merge_by_id.py)
A. Al Safari,Abdulrahman Al Safari,مؤكد,player_id=134766 — حَكَم قاطع (merge_by_id.py)
Hussain Al Eissa,Hussain Al Eisa,مؤكد,player_id=134767 — حَكَم قاطع (merge_by_id.py)
H. Al Eisa,Hussain Al Eisa,مؤكد,player_id=134767 — حَكَم قاطع (merge_by_id.py)
Hussain Ahmed Al Issa,Hussain Al Eisa,مؤكد,player_id=134767 — حَكَم قاطع (merge_by_id.py)
N. Boushal,Nawaf Bu Washl,مؤكد,player_id=134995 — حَكَم قاطع (merge_by_id.py)
Nawaf Boushal,Nawaf Bu Washl,مؤكد,player_id=134995 — حَكَم قاطع (merge_by_id.py)
M. Al Mahasneh,Mohammed Al Mahasneh,مؤكد,player_id=135006 — حَكَم قاطع (merge_by_id.py)
Mohammed Al Mahasnah,Mohammed Al Mahasneh,مؤكد,player_id=135006 — حَكَم قاطع (merge_by_id.py)
M. Al Sibyani,Meshal Sibyani,مؤكد,player_id=135341 — حَكَم قاطع (merge_by_id.py)
Ayman Yahya,Aiman Yahya,مؤكد,player_id=147812 — حَكَم قاطع (merge_by_id.py)
E. Utkus,Edgaras Utkus,مؤكد,player_id=163019 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Petkov,Marin Petkov,مؤكد,player_id=178904 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Naif Kariri,Naif Kireiri,مؤكد,player_id=182454 — حَكَم قاطع (merge_by_id.py)
I. Kortajarena,Iker Kortajarena,مؤكد,player_id=183747 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
